sequence,initiator,budget,cuisine,gender,companion,day,meal,email1,emai2,restaurant,status
253,Darren,2,thai,male,unknown,12/9/17,Lunch,sanfordryan@gmail.com,unknown,unknown,unmatched
254,Nicole,3,russian,female,unknown,12/9/17,Lunch,lwhite@yahoo.com,unknown,unknown,unmatched
255,Michael,2,russian,male,unknown,12/7/17,Breakfast,payneteresa@wood.com,unknown,unknown,unmatched
256,Jordan,3,chinese,male,unknown,12/7/17,Lunch,johnsonlindsay@gmail.com,unknown,unknown,unmatched
257,Thomas,2,ethiopian,male,unknown,12/9/17,Breakfast,michael70@foster-alvarez.com,unknown,unknown,unmatched
258,Cassandra,1,chinese,female,unknown,12/9/17,Lunch,browndanielle@kelley.com,unknown,unknown,unmatched
259,Barbara,2,ethiopian,female,unknown,12/8/17,Dinner,cmartinez@hotmail.com,unknown,unknown,unmatched
260,Ashley,2,indian,female,unknown,12/8/17,Breakfast,daniel40@yahoo.com,unknown,unknown,unmatched
261,Chelsea,2,chinese,female,unknown,12/7/17,Dinner,darrenmorrison@gmail.com,unknown,unknown,unmatched
262,Catherine,2,spanish,female,unknown,12/8/17,Breakfast,amberlopez@lane.biz,unknown,unknown,unmatched
263,Theresa,2,korean,female,unknown,12/8/17,Lunch,heatherwilliams@gmail.com,unknown,unknown,unmatched
264,Susan,3,american,female,unknown,12/7/17,Lunch,nathanieleverett@wright.com,unknown,unknown,unmatched
265,Kenneth,3,mediterranian,male,unknown,12/7/17,Dinner,ahernandez@yahoo.com,unknown,unknown,unmatched
266,Sonya,3,russian,female,unknown,12/7/17,Breakfast,bryantshawn@wilson.org,unknown,unknown,unmatched
267,Christian,3,american,male,unknown,12/7/17,Lunch,aoconnor@hotmail.com,unknown,unknown,unmatched
268,Amber,1,thai,female,unknown,12/7/17,Breakfast,jennifer00@russell.org,unknown,unknown,unmatched
269,Julia,1,mediterranian,female,unknown,12/9/17,Dinner,craigshaw@garcia.com,unknown,unknown,unmatched
270,Crystal,1,chinese,female,unknown,12/9/17,Lunch,andrewgould@hotmail.com,unknown,unknown,unmatched
271,Katherine,3,thai,female,unknown,12/7/17,Breakfast,dixonkaren@gmail.com,unknown,unknown,unmatched
272,Jacqueline,3,italian,female,unknown,12/7/17,Dinner,wilsonrichard@hotmail.com,unknown,unknown,unmatched
273,Darlene,3,american,female,unknown,12/7/17,Dinner,williamwise@sullivan.com,unknown,unknown,unmatched
274,Paul,1,mediterranian,male,unknown,12/7/17,Breakfast,jennifer83@yahoo.com,unknown,unknown,unmatched
275,Larry,3,italian,male,unknown,12/7/17,Dinner,psaunders@cuevas.biz,unknown,unknown,unmatched
276,Vanessa,3,italian,female,unknown,12/8/17,Lunch,cbarrett@wright.com,unknown,unknown,unmatched
277,Nicolas,3,indian,male,unknown,12/9/17,Breakfast,robinbriggs@wright.com,unknown,unknown,unmatched
278,Patricia,3,italian,female,unknown,12/9/17,Breakfast,pamela01@hotmail.com,unknown,unknown,unmatched
279,Diane,3,american,female,unknown,12/8/17,Lunch,joshua37@gmail.com,unknown,unknown,unmatched
280,Amanda,2,french,female,unknown,12/7/17,Lunch,ashleykemp@lopez.biz,unknown,unknown,unmatched
281,James,3,mexican,male,unknown,12/7/17,Dinner,ashley08@yates.org,unknown,unknown,unmatched
282,David,1,italian,male,unknown,12/9/17,Breakfast,randolphbradley@gmail.com,unknown,unknown,unmatched
283,Michael,1,french,male,unknown,12/7/17,Lunch,willisolivia@hotmail.com,unknown,unknown,unmatched
284,Mark,2,mediterranian,male,unknown,12/8/17,Dinner,marynguyen@adams.biz,unknown,unknown,unmatched
285,Janet,1,indian,female,unknown,12/9/17,Lunch,kflores@yahoo.com,unknown,unknown,unmatched
286,Jacob,1,russian,male,unknown,12/8/17,Lunch,ethompson@gmail.com,unknown,unknown,unmatched
287,Sharon,2,korean,female,unknown,12/7/17,Breakfast,timothybyrd@mullen.com,unknown,unknown,unmatched
288,Lori,1,italian,female,unknown,12/9/17,Lunch,kristen61@crawford.com,unknown,unknown,unmatched
289,Mary,1,ethiopian,female,unknown,12/9/17,Breakfast,michaeljohnson@yahoo.com,unknown,unknown,unmatched
290,Jennifer,3,korean,female,unknown,12/7/17,Lunch,welchmarissa@lewis-oconnor.com,unknown,unknown,unmatched
291,Beth,2,ethiopian,female,unknown,12/7/17,Breakfast,sarahkennedy@gmail.com,unknown,unknown,unmatched
292,Jennifer,2,korean,female,unknown,12/7/17,Lunch,imyers@gmail.com,unknown,unknown,unmatched
293,Amber,2,chinese,female,unknown,12/9/17,Breakfast,huffmanrandall@gmail.com,unknown,unknown,unmatched
294,Larry,1,russian,male,unknown,12/8/17,Breakfast,psaunders@cuevas.biz,unknown,unknown,unmatched
295,Derek,2,italian,male,unknown,12/9/17,Dinner,michaellarson@gmail.com,unknown,unknown,unmatched
296,Michelle,1,american,female,unknown,12/7/17,Lunch,arroyorhonda@reynolds.biz,unknown,unknown,unmatched
297,Lacey,3,japanese,female,unknown,12/8/17,Breakfast,brandon95@hotmail.com,unknown,unknown,unmatched
298,Michael,3,chinese,male,unknown,12/7/17,Lunch,candice38@graham.net,unknown,unknown,unmatched
299,James,2,french,male,unknown,12/9/17,Lunch,julierobinson@yahoo.com,unknown,unknown,unmatched
300,Mary,1,thai,female,unknown,12/9/17,Dinner,michaeljohnson@yahoo.com,unknown,unknown,unmatched
301,Amanda,3,japanese,female,unknown,12/9/17,Dinner,wallaceluis@cantrell.com,unknown,unknown,unmatched
302,Sharon,1,italian,female,unknown,12/9/17,Dinner,cmendoza@owens.org,unknown,unknown,unmatched
303,Larry,2,italian,male,unknown,12/7/17,Dinner,psaunders@cuevas.biz,unknown,unknown,unmatched
304,Michelle,1,mexican,female,unknown,12/8/17,Breakfast,braunpaula@hotmail.com,unknown,unknown,unmatched
305,Kathleen,1,russian,female,unknown,12/9/17,Dinner,cassandrafuller@mcpherson.org,unknown,unknown,unmatched
306,Brandon,2,spanish,male,unknown,12/7/17,Breakfast,torresheather@hotmail.com,unknown,unknown,unmatched
307,David,3,chinese,male,unknown,12/9/17,Breakfast,victoria80@moore.com,unknown,unknown,unmatched
308,Taylor,3,american,female,unknown,12/7/17,Dinner,richardcampbell@hotmail.com,unknown,unknown,unmatched
309,Michael,1,spanish,male,unknown,12/7/17,Dinner,webbdean@yahoo.com,unknown,unknown,unmatched
310,Madison,2,french,female,unknown,12/7/17,Dinner,haroldstone@yahoo.com,unknown,unknown,unmatched
311,Faith,3,indian,female,unknown,12/8/17,Lunch,jevans@hotmail.com,unknown,unknown,unmatched
312,Jeffrey,2,american,male,unknown,12/8/17,Breakfast,ronald43@porter.com,unknown,unknown,unmatched
313,Kenneth,2,american,male,unknown,12/9/17,Breakfast,ncruz@koch.biz,unknown,unknown,unmatched
314,Jocelyn,1,chinese,female,unknown,12/7/17,Breakfast,ogomez@hotmail.com,unknown,unknown,unmatched
315,Brenda,1,italian,female,unknown,12/9/17,Lunch,vernonsolis@kim-hernandez.com,unknown,unknown,unmatched
316,Brad,1,korean,male,unknown,12/9/17,Breakfast,obishop@willis.org,unknown,unknown,unmatched
317,Teresa,3,mexican,female,unknown,12/8/17,Lunch,fvargas@gmail.com,unknown,unknown,unmatched
318,Julie,1,french,female,unknown,12/7/17,Breakfast,mcclurekevin@gmail.com,unknown,unknown,unmatched
319,Philip,2,mexican,male,unknown,12/8/17,Breakfast,matthewrogers@yahoo.com,unknown,unknown,unmatched
320,Paul,1,indian,male,unknown,12/9/17,Lunch,connie58@hotmail.com,unknown,unknown,unmatched
321,Tracy,3,mediterranian,female,unknown,12/8/17,Breakfast,shanejohnson@gmail.com,unknown,unknown,unmatched
322,Kristi,1,spanish,female,unknown,12/8/17,Lunch,samuel35@mcdowell.com,unknown,unknown,unmatched
323,Jeffery,1,chinese,male,unknown,12/8/17,Dinner,housemichael@gmail.com,unknown,unknown,unmatched
324,Christina,2,mexican,female,unknown,12/8/17,Breakfast,lauren23@murphy.com,unknown,unknown,unmatched
325,Kevin,2,american,male,unknown,12/9/17,Breakfast,hayescolleen@graham-hogan.com,unknown,unknown,unmatched
326,Julia,1,spanish,female,unknown,12/7/17,Lunch,craigshaw@garcia.com,unknown,unknown,unmatched
327,Jamie,2,french,male,unknown,12/7/17,Lunch,cmcgee@yahoo.com,unknown,unknown,unmatched
328,Jamie,1,japanese,female,unknown,12/9/17,Dinner,ricky62@hernandez.com,unknown,unknown,unmatched
329,Olivia,1,japanese,female,unknown,12/9/17,Breakfast,victoriagardner@west-jones.com,unknown,unknown,unmatched
330,Amber,3,russian,female,unknown,12/9/17,Dinner,esmith@yoder-mcclain.biz,unknown,unknown,unmatched
331,Maria,1,japanese,female,unknown,12/8/17,Lunch,jasonharper@yahoo.com,unknown,unknown,unmatched
332,Brenda,2,japanese,female,unknown,12/8/17,Lunch,cynthia52@martinez.biz,unknown,unknown,unmatched
333,Elizabeth,2,russian,female,unknown,12/9/17,Dinner,escobartimothy@hotmail.com,unknown,unknown,unmatched
334,Emily,2,french,female,unknown,12/9/17,Breakfast,renee80@gmail.com,unknown,unknown,unmatched
335,Aaron,2,italian,male,unknown,12/8/17,Breakfast,rconway@thompson.com,unknown,unknown,unmatched
336,Jeffrey,1,american,male,unknown,12/9/17,Breakfast,juliawilliams@davis.com,unknown,unknown,unmatched
337,Jamie,2,ethiopian,female,unknown,12/9/17,Dinner,maria46@shepherd-boyer.com,unknown,unknown,unmatched
338,Julia,1,korean,female,unknown,12/9/17,Dinner,craigshaw@garcia.com,unknown,unknown,unmatched
339,Zachary,1,ethiopian,male,unknown,12/8/17,Lunch,fgates@gmail.com,unknown,unknown,unmatched
340,Vickie,3,italian,female,unknown,12/9/17,Lunch,obrienjennifer@jackson.biz,unknown,unknown,unmatched
341,Katherine,2,ethiopian,female,unknown,12/9/17,Breakfast,susancook@gmail.com,unknown,unknown,unmatched
342,Shane,2,indian,male,unknown,12/8/17,Dinner,esmith@lloyd-stevenson.org,unknown,unknown,unmatched
343,Kyle,2,ethiopian,male,unknown,12/9/17,Lunch,kelly82@gmail.com,unknown,unknown,unmatched
344,Eric,2,mexican,male,unknown,12/9/17,Lunch,qboyle@hotmail.com,unknown,unknown,unmatched
345,Amanda,3,korean,female,unknown,12/7/17,Breakfast,brittany05@gmail.com,unknown,unknown,unmatched
346,Taylor,1,french,female,unknown,12/9/17,Breakfast,blopez@hotmail.com,unknown,unknown,unmatched
347,William,3,indian,male,unknown,12/7/17,Breakfast,sarahrobinson@vincent.com,unknown,unknown,unmatched
348,Mary,2,american,female,unknown,12/8/17,Dinner,davidneal@blake.com,unknown,unknown,unmatched
349,Nicole,2,american,female,unknown,12/8/17,Dinner,sanderssarah@yahoo.com,unknown,unknown,unmatched
350,James,2,italian,male,unknown,12/7/17,Lunch,mooresteve@yahoo.com,unknown,unknown,unmatched
351,Heather,2,mexican,female,unknown,12/8/17,Dinner,nicholasmeyer@schmitt.biz,unknown,unknown,unmatched
352,Jamie,3,mexican,female,unknown,12/8/17,Breakfast,peter79@bowen.com,unknown,unknown,unmatched
353,Brian,3,french,male,unknown,12/9/17,Dinner,matthewgraham@yahoo.com,unknown,unknown,unmatched
354,Julia,2,spanish,female,unknown,12/9/17,Breakfast,cynthiawood@yahoo.com,unknown,unknown,unmatched
355,Kyle,2,spanish,male,unknown,12/9/17,Lunch,vbrown@yahoo.com,unknown,unknown,unmatched
356,Benjamin,1,japanese,male,unknown,12/7/17,Dinner,ashleybarr@gmail.com,unknown,unknown,unmatched
357,Kyle,2,mexican,male,unknown,12/9/17,Dinner,vbrown@yahoo.com,unknown,unknown,unmatched
358,Dillon,3,korean,male,unknown,12/8/17,Breakfast,shermancraig@yahoo.com,unknown,unknown,unmatched
359,Nicholas,1,mediterranian,male,unknown,12/9/17,Lunch,jnelson@gmail.com,unknown,unknown,unmatched
360,Oscar,3,spanish,male,unknown,12/9/17,Lunch,coreyking@yahoo.com,unknown,unknown,unmatched
361,Audrey,1,chinese,female,unknown,12/7/17,Breakfast,allenjackson@hotmail.com,unknown,unknown,unmatched
362,Tami,3,spanish,female,unknown,12/9/17,Dinner,lrice@hale.com,unknown,unknown,unmatched
363,Alexandra,1,spanish,female,unknown,12/9/17,Breakfast,maysalyssa@huffman.com,unknown,unknown,unmatched
364,Jill,3,russian,female,unknown,12/9/17,Dinner,tbrown@hotmail.com,unknown,unknown,unmatched
365,Debra,2,spanish,female,unknown,12/7/17,Dinner,lopezjill@malone.com,unknown,unknown,unmatched
366,Ana,1,ethiopian,female,unknown,12/9/17,Breakfast,rsherman@brown.com,unknown,unknown,unmatched
367,Barbara,2,spanish,female,unknown,12/7/17,Breakfast,eklein@anderson-ellis.org,unknown,unknown,unmatched
368,Amy,1,italian,female,unknown,12/9/17,Lunch,davidbaker@gmail.com,unknown,unknown,unmatched
369,Tanner,1,french,male,unknown,12/9/17,Lunch,sandraedwards@yahoo.com,unknown,unknown,unmatched
370,Samantha,3,indian,female,unknown,12/8/17,Lunch,erica67@hotmail.com,unknown,unknown,unmatched
371,Christie,1,mediterranian,female,unknown,12/8/17,Breakfast,yewing@cunningham-williams.biz,unknown,unknown,unmatched
372,Lynn,3,russian,female,unknown,12/9/17,Dinner,nguyenamber@smith.com,unknown,unknown,unmatched
373,Brian,2,indian,male,unknown,12/9/17,Dinner,matthewgraham@yahoo.com,unknown,unknown,unmatched
374,Heather,2,japanese,female,unknown,12/8/17,Dinner,pattyrodriguez@yahoo.com,unknown,unknown,unmatched
375,Emily,1,thai,female,unknown,12/9/17,Breakfast,samanthalane@sanchez-barnes.com,unknown,unknown,unmatched
376,Amanda,2,indian,female,unknown,12/9/17,Dinner,trujillomarissa@nolan.com,unknown,unknown,unmatched
377,Debra,1,chinese,female,unknown,12/8/17,Lunch,lopezjill@malone.com,unknown,unknown,unmatched
378,Teresa,3,russian,female,unknown,12/9/17,Dinner,mcclainerin@tyler.com,unknown,unknown,unmatched
379,Evan,2,indian,male,unknown,12/7/17,Dinner,hhoover@hunt.net,unknown,unknown,unmatched
380,Christina,2,korean,female,unknown,12/8/17,Dinner,steve70@hotmail.com,unknown,unknown,unmatched
381,Andrea,1,american,female,unknown,12/9/17,Dinner,pearsonjennifer@haley.biz,unknown,unknown,unmatched
382,Elizabeth,3,russian,female,unknown,12/7/17,Dinner,escobartimothy@hotmail.com,unknown,unknown,unmatched
383,Heather,3,thai,female,unknown,12/9/17,Lunch,pattyrodriguez@yahoo.com,unknown,unknown,unmatched
384,Daniel,3,american,male,unknown,12/8/17,Dinner,glambert@flores.com,unknown,unknown,unmatched
385,Steven,2,french,male,unknown,12/8/17,Dinner,bknapp@hotmail.com,unknown,unknown,unmatched
386,Jennifer,1,american,female,unknown,12/8/17,Dinner,rojaskara@knight-reynolds.com,unknown,unknown,unmatched
387,Ryan,2,mediterranian,male,unknown,12/9/17,Dinner,angelacarter@davis.net,unknown,unknown,unmatched
388,Jesus,2,indian,male,unknown,12/9/17,Lunch,qriddle@hotmail.com,unknown,unknown,unmatched
389,Jack,2,ethiopian,male,unknown,12/8/17,Lunch,reneemorris@gmail.com,unknown,unknown,unmatched
390,Julie,2,thai,female,unknown,12/9/17,Breakfast,laura77@gmail.com,unknown,unknown,unmatched
391,Elizabeth,1,spanish,female,unknown,12/9/17,Lunch,escobartimothy@hotmail.com,unknown,unknown,unmatched
392,Jacob,1,russian,male,unknown,12/7/17,Lunch,ronald06@hotmail.com,unknown,unknown,unmatched
393,Eric,3,mexican,male,unknown,12/9/17,Breakfast,phillipslauren@joyce.net,unknown,unknown,unmatched
394,Amy,1,ethiopian,female,unknown,12/8/17,Lunch,kellyvasquez@duran.biz,unknown,unknown,unmatched
395,Frank,3,ethiopian,male,unknown,12/9/17,Lunch,christine64@graves.info,unknown,unknown,unmatched
396,Amber,3,thai,female,unknown,12/7/17,Breakfast,hbowers@klein.com,unknown,unknown,unmatched
397,Brian,1,spanish,male,unknown,12/9/17,Dinner,marklogan@gibson-walker.info,unknown,unknown,unmatched
398,April,1,mexican,female,unknown,12/7/17,Breakfast,carlsonchristopher@yahoo.com,unknown,unknown,unmatched
399,Cynthia,1,chinese,female,unknown,12/9/17,Lunch,scortez@hotmail.com,unknown,unknown,unmatched
400,Dawn,2,mediterranian,female,unknown,12/7/17,Dinner,timothy15@mullen.com,unknown,unknown,unmatched
401,Katelyn,1,thai,female,unknown,12/7/17,Breakfast,mariahwells@bray-douglas.com,unknown,unknown,unmatched
402,April,2,mexican,female,unknown,12/9/17,Breakfast,carlsonchristopher@yahoo.com,unknown,unknown,unmatched
403,Julie,2,chinese,female,unknown,12/9/17,Lunch,bryce01@holt.com,unknown,unknown,unmatched
404,Megan,1,mediterranian,female,unknown,12/9/17,Lunch,uconner@yahoo.com,unknown,unknown,unmatched
405,Christian,2,american,male,unknown,12/8/17,Breakfast,aoconnor@hotmail.com,unknown,unknown,unmatched
406,Amanda,3,american,female,unknown,12/9/17,Breakfast,matthewsnyder@cox.info,unknown,unknown,unmatched
407,Monica,2,korean,female,unknown,12/9/17,Breakfast,annacohen@yahoo.com,unknown,unknown,unmatched
408,Jerry,3,french,male,unknown,12/7/17,Dinner,bethgarcia@hotmail.com,unknown,unknown,unmatched
409,Michael,1,indian,male,unknown,12/7/17,Lunch,psmith@porter.com,unknown,unknown,unmatched
410,Kristine,1,korean,female,unknown,12/9/17,Breakfast,vanessarodgers@gmail.com,unknown,unknown,unmatched
411,Christopher,3,mediterranian,male,unknown,12/9/17,Breakfast,bellstephanie@yahoo.com,unknown,unknown,unmatched
412,Michelle,1,mediterranian,female,unknown,12/8/17,Breakfast,bakeralicia@gmail.com,unknown,unknown,unmatched
413,Megan,2,spanish,female,unknown,12/7/17,Breakfast,teresalopez@thomas-wood.com,unknown,unknown,unmatched
414,Samantha,2,korean,female,unknown,12/9/17,Breakfast,erica67@hotmail.com,unknown,unknown,unmatched
415,Christopher,1,indian,male,unknown,12/7/17,Dinner,nchavez@rodriguez-guerrero.com,unknown,unknown,unmatched
416,Michele,3,ethiopian,female,unknown,12/9/17,Breakfast,sarah68@valdez-perez.com,unknown,unknown,unmatched
417,Jason,3,italian,male,unknown,12/8/17,Dinner,echase@yahoo.com,unknown,unknown,unmatched
418,Mark,2,chinese,male,unknown,12/9/17,Lunch,conleyshawn@hotmail.com,unknown,unknown,unmatched
419,Matthew,3,spanish,male,unknown,12/7/17,Lunch,hillamber@yahoo.com,unknown,unknown,unmatched
420,Pamela,2,indian,female,unknown,12/7/17,Lunch,maria97@conway.com,unknown,unknown,unmatched
421,Robert,2,american,male,unknown,12/9/17,Dinner,jarvisdavid@holmes.org,unknown,unknown,unmatched
422,Chelsea,3,mediterranian,female,unknown,12/8/17,Dinner,darrenmorrison@gmail.com,unknown,unknown,unmatched
423,Ricky,2,indian,male,unknown,12/7/17,Lunch,phernandez@hotmail.com,unknown,unknown,unmatched
424,Christopher,2,japanese,male,unknown,12/8/17,Dinner,jeffrey37@hotmail.com,unknown,unknown,unmatched
425,Michael,3,indian,male,unknown,12/8/17,Lunch,cespinoza@hotmail.com,unknown,unknown,unmatched
426,Brendan,3,japanese,male,unknown,12/8/17,Breakfast,suegarcia@chang-shannon.biz,unknown,unknown,unmatched
427,Susan,1,mediterranian,female,unknown,12/9/17,Lunch,nathanieleverett@wright.com,unknown,unknown,unmatched
428,Kayla,3,american,female,unknown,12/9/17,Breakfast,brent72@yahoo.com,unknown,unknown,unmatched
429,Steven,3,indian,male,unknown,12/8/17,Breakfast,xhanna@gutierrez.biz,unknown,unknown,unmatched
430,Donald,1,thai,male,unknown,12/9/17,Dinner,melissa24@ellis-garcia.org,unknown,unknown,unmatched
431,Derrick,2,mediterranian,male,unknown,12/9/17,Dinner,oking@yahoo.com,unknown,unknown,unmatched
432,Brenda,2,italian,female,unknown,12/8/17,Dinner,michaelromero@hotmail.com,unknown,unknown,unmatched
433,Jennifer,1,mediterranian,female,unknown,12/7/17,Breakfast,annadavis@griffith-hodges.com,unknown,unknown,unmatched
434,Betty,3,american,female,unknown,12/9/17,Dinner,owelch@webster.com,unknown,unknown,unmatched
435,Tammy,3,japanese,female,unknown,12/9/17,Lunch,william86@hotmail.com,unknown,unknown,unmatched
436,Lisa,3,spanish,female,unknown,12/8/17,Lunch,brianvasquez@gmail.com,unknown,unknown,unmatched
437,Benjamin,3,mediterranian,male,unknown,12/9/17,Breakfast,christine15@yahoo.com,unknown,unknown,unmatched
438,Jennifer,2,american,female,unknown,12/8/17,Dinner,annadavis@griffith-hodges.com,unknown,unknown,unmatched
439,Kelly,1,russian,female,unknown,12/7/17,Dinner,shaffersharon@hotmail.com,unknown,unknown,unmatched
440,Ricky,2,ethiopian,male,unknown,12/8/17,Lunch,nbutler@gmail.com,unknown,unknown,unmatched
441,Alejandra,3,japanese,female,unknown,12/7/17,Breakfast,melissabrown@long.com,unknown,unknown,unmatched
442,Trevor,1,ethiopian,male,unknown,12/7/17,Dinner,davidwilliamson@hotmail.com,unknown,unknown,unmatched
443,Daniel,2,italian,male,unknown,12/8/17,Lunch,glambert@flores.com,unknown,unknown,unmatched
444,Michael,2,indian,male,unknown,12/7/17,Lunch,wherman@yahoo.com,unknown,unknown,unmatched
445,Richard,3,spanish,male,unknown,12/7/17,Breakfast,jmendez@gmail.com,unknown,unknown,unmatched
446,Sheila,2,indian,female,unknown,12/7/17,Breakfast,kevin23@elliott.com,unknown,unknown,unmatched
447,Ricardo,3,mediterranian,male,unknown,12/7/17,Lunch,rickstephens@hotmail.com,unknown,unknown,unmatched
448,Dennis,1,french,male,unknown,12/8/17,Dinner,brittany85@hughes.com,unknown,unknown,unmatched
449,Joseph,1,japanese,male,unknown,12/7/17,Dinner,rick47@yahoo.com,unknown,unknown,unmatched
450,Daniel,3,ethiopian,male,unknown,12/8/17,Breakfast,littlekayla@tyler.biz,unknown,unknown,unmatched
451,Joseph,1,french,male,unknown,12/8/17,Lunch,wesleypatel@long.com,unknown,unknown,unmatched
452,David,3,french,male,unknown,12/9/17,Breakfast,victoria80@moore.com,unknown,unknown,unmatched
453,Caleb,1,mediterranian,male,unknown,12/9/17,Lunch,yshaffer@wilson.org,unknown,unknown,unmatched
454,Nicholas,1,chinese,male,unknown,12/8/17,Breakfast,michael01@moore-bauer.com,unknown,unknown,unmatched
455,Krista,2,russian,female,unknown,12/8/17,Breakfast,troy55@hotmail.com,unknown,unknown,unmatched
456,Daniel,3,mexican,male,unknown,12/9/17,Dinner,katrina61@hubbard.com,unknown,unknown,unmatched
457,Mark,2,mexican,male,unknown,12/9/17,Breakfast,conleyshawn@hotmail.com,unknown,unknown,unmatched
458,Cassandra,3,ethiopian,female,unknown,12/8/17,Lunch,browndanielle@kelley.com,unknown,unknown,unmatched
459,Roger,2,thai,male,unknown,12/8/17,Breakfast,zcharles@moore.com,unknown,unknown,unmatched
460,Jeffery,3,ethiopian,male,unknown,12/7/17,Dinner,housemichael@gmail.com,unknown,unknown,unmatched
461,Alicia,2,japanese,female,unknown,12/9/17,Lunch,anthonysantiago@grant.com,unknown,unknown,unmatched
462,Penny,3,ethiopian,female,unknown,12/8/17,Breakfast,bethany98@sloan-hendricks.com,unknown,unknown,unmatched
463,Holly,3,american,female,unknown,12/9/17,Dinner,victoriapayne@kelly.com,unknown,unknown,unmatched
464,Ricardo,3,mediterranian,male,unknown,12/9/17,Dinner,rickstephens@hotmail.com,unknown,unknown,unmatched
465,Duane,3,korean,male,unknown,12/8/17,Lunch,melinda92@hotmail.com,unknown,unknown,unmatched
466,Robert,1,italian,male,unknown,12/8/17,Lunch,tammy70@quinn.com,unknown,unknown,unmatched
467,Jeffrey,3,american,male,unknown,12/7/17,Lunch,vcampbell@yahoo.com,unknown,unknown,unmatched
468,Nathan,1,chinese,male,unknown,12/8/17,Lunch,mary98@montgomery.com,unknown,unknown,unmatched
469,Stephanie,2,ethiopian,female,unknown,12/9/17,Breakfast,spencerdavid@warren-mckenzie.com,unknown,unknown,unmatched
470,Jeffrey,2,ethiopian,male,unknown,12/9/17,Lunch,elaine33@hotmail.com,unknown,unknown,unmatched
471,Daniel,3,american,male,unknown,12/9/17,Breakfast,karencollins@yahoo.com,unknown,unknown,unmatched
472,Nathan,3,russian,male,unknown,12/9/17,Breakfast,charlesfrost@gmail.com,unknown,unknown,unmatched
473,Jason,2,spanish,male,unknown,12/9/17,Lunch,jeremymaxwell@brewer.com,unknown,unknown,unmatched
474,Victoria,2,ethiopian,female,unknown,12/9/17,Dinner,annaperez@cameron.com,unknown,unknown,unmatched
475,Gregory,1,indian,male,unknown,12/8/17,Dinner,lisalopez@smith.net,unknown,unknown,unmatched
476,Holly,1,korean,female,unknown,12/8/17,Lunch,ellisonchristina@hotmail.com,unknown,unknown,unmatched
477,Jon,1,french,male,unknown,12/8/17,Dinner,amy10@lane.com,unknown,unknown,unmatched
478,Nicholas,3,ethiopian,male,unknown,12/7/17,Lunch,douglasanita@flores.info,unknown,unknown,unmatched
479,Lindsey,2,american,female,unknown,12/7/17,Lunch,lgibbs@adams.com,unknown,unknown,unmatched
480,Raymond,2,italian,male,unknown,12/7/17,Lunch,rpeterson@hotmail.com,unknown,unknown,unmatched
481,Mario,2,chinese,male,unknown,12/7/17,Dinner,gramirez@yahoo.com,unknown,unknown,unmatched
482,Christina,1,french,female,unknown,12/7/17,Dinner,lisa85@smith.net,unknown,unknown,unmatched
483,Michael,1,russian,male,unknown,12/8/17,Breakfast,cspencer@yahoo.com,unknown,unknown,unmatched
484,Andrea,2,japanese,female,unknown,12/8/17,Dinner,timothyli@hotmail.com,unknown,unknown,unmatched
485,Andrew,2,mexican,male,unknown,12/8/17,Dinner,romerolacey@gmail.com,unknown,unknown,unmatched
486,Joshua,3,american,male,unknown,12/7/17,Breakfast,amanda54@yahoo.com,unknown,unknown,unmatched
487,Taylor,2,french,female,unknown,12/8/17,Lunch,maria23@smith.biz,unknown,unknown,unmatched
488,Monica,3,japanese,female,unknown,12/9/17,Lunch,kimberly62@schwartz.org,unknown,unknown,unmatched
489,Jessica,3,italian,female,unknown,12/9/17,Lunch,wbest@hotmail.com,unknown,unknown,unmatched
490,Ashley,1,indian,female,unknown,12/8/17,Breakfast,juliaduran@patton.com,unknown,unknown,unmatched
491,Stacey,3,japanese,female,unknown,12/9/17,Breakfast,washingtonconnie@hotmail.com,unknown,unknown,unmatched
492,William,3,french,male,unknown,12/7/17,Lunch,qpowers@gmail.com,unknown,unknown,unmatched
493,Penny,1,chinese,female,unknown,12/7/17,Breakfast,david30@jones.org,unknown,unknown,unmatched
494,Adam,1,korean,male,unknown,12/7/17,Dinner,jamesbarker@garcia-jones.info,unknown,unknown,unmatched
495,Douglas,3,ethiopian,male,unknown,12/8/17,Dinner,ethan51@travis.info,unknown,unknown,unmatched
496,Ryan,3,italian,male,unknown,12/8/17,Breakfast,carlos64@meyer.com,unknown,unknown,unmatched
497,Julie,3,mexican,female,unknown,12/7/17,Dinner,linda18@sims.com,unknown,unknown,unmatched
498,Jill,1,french,female,unknown,12/7/17,Dinner,dustinjohnson@yahoo.com,unknown,unknown,unmatched
499,Brad,2,japanese,male,unknown,12/7/17,Dinner,obishop@willis.org,unknown,unknown,unmatched
500,Michael,2,french,male,unknown,12/8/17,Dinner,ruizabigail@ruiz-fisher.com,unknown,unknown,unmatched
